Message,Positive_Match,Negative_Match,Polarity,Keywords,Tweet_Number
RT DrJacobsRad Failure to prepareIt became very clear early in the outbreak that Canada lacked the necessary ventilators and personal,clear,lacked,negative,['canada'],867
TickPick 2001 University of Miami Hurricanes,None,None,neutral,['university'],868
RT BBCWorld BBCJonSopel This young doctor says she is not frightened for herself but a dozen of her coworkers have fallen illhttps,None,fallen,negative,None,869
ryanc86 OutlawTory The big problem here is our shipping sucks We have done nothing to bring down the price except for big companies with volume or starting your own shipping biz which is hard obvious Many of us are having to ship from warehouses outside of Canada which is not preferable,preferable,problem,negative,['canada'],870
RT AIratus07 New York new coronavirus cases dropping for first time But in a news conference on Sunday Governor Andrew Cuomo said it,None,None,neutral,None,871
RT FinanceCanada The new Small and Mediumsized Enterprise Loan Guarantee and Colending programs will provide up to 40 billion in finan,guarantee,None,positive,None,872
RT TheBlueGem3 Thank god for Canada My beautiful home I thank my lucky stars that when my grandfather immigrated he was given a choic,beautiful,None,positive,['canada'],873
RT JManPrime21 I miss our progressive champion,champion,miss,positive,None,874
RT timethief MADavies mes200000 YyzkevinBull CPCHQ nationalpost I dont think most Canadians are clued into Postmedia bias How P,None,bias,negative,None,875
Well do what is necessary to keep Canadians safe Trudeau says amid mask dispute,safe,dispute,positive,None,876
QueenLavonia Greetings from Canada and have a happy birthday,happy,None,positive,['canada'],877
RT fraziersamy realDonaldTrump X22Report I trust you President Trump but really Queen Elizabeth the head of the Illuminati and respo,illuminati,None,positive,None,878
RT punditclass Canadas new pandemic caste systemFirst Class Public service workers paid whether they work or notSecond Class Priv,work,None,positive,None,879
RT matthewmcbain The Canada Gazette doesnt publish the governments message this faithfully,faithfully,None,positive,['canada'],880
This will fall on deaf doctrinally driven ears when this is over remember,None,deaf,negative,None,881
and no sleep today because of University shit,None,shit,negative,['university'],882
RT artofwarlover Tokenn brianlilley realDonaldTrump narendramodi I trust you saw this video Brian Navarro was pretty clear The US i,clear,None,positive,None,883
RT far1762 Yeah we saw it and were going to keep retweeting it Dr Drew who must have gotten his degree from Trumps University,None,None,neutral,['university'],884
One thing weve learned is that competent leaders like JustinTrudeau can work from their home and accomplish great things I also hope conservative voters will learn how important our hcare and sciences are in Canada,work,conservative,positive,['canada'],885
MHCC CPHOCanada ottawahealth If people had more financial support theyd need a lot less of this,support,None,positive,None,886
RT dieonjonai Day 26 My parents created Quarantine State University,None,None,neutral,['university'],887
GaiterDan GaryGusinsky Yes our US1 Sour Mash is available in Canada,available,sour,neutral,['canada'],888
shannonleetweed Come back to Canada Shannon,None,None,neutral,['canada'],889
ctvqp The Fed Libs were Warner 15 years ago that Canada needed to be better prepared for emergencies They can now blame the former Harper govt all they want but this is on the Fed Libs,better,blame,neutral,['canada'],890
I am certain that if Canada had kept its awful Conservative govt whether led by Harper Scheer McKay OToole etc that ThankGodForCanada would NOT be trending,led,conservative,negative,['canada'],891
RT 1CoachCoop Can the season start back up any quicker Theres ballers that want to be a part of this cmon Football Gods lets g,quicker,None,positive,None,892
realDonaldTrump Trump orders 3M not to send masks to Canada Wow how soon we forget 911 when Canada opened their hearts and homes to Americans There are countless medical supplies coming from Canada including health care workers every day,trump,None,positive,['canada'],893
RT clxighi thank god for canada the most polite respectful accepting welcoming inclusive amp friendliest etc nation country in the,polite,None,positive,['canada'],894
Since this years Canada Day is goning to be different this am going to make a 1 hour Canada Day special,None,None,neutral,['canada'],895
conservativemn WCCO GovTimWalz I hope you feel this way when Trump espouse any kind of concerns about or suggestions for China Canada or Mexico I hope you say Worry about your own country,trump,worry,negative,['canada'],896
canadaAs a Canadian I can not put into words how I feel about the trump USA selfish hold on 3m masksThat is not the Canadian way We should remember this,trump,selfish,neutral,None,897
RT CovfefeJohn3 as the Prime Minister of Canada on Nov 4 2015 he pledged his detailed fidelity and devotion to the Queen of England,fidelity,None,positive,['canada'],898
BakariSellers Facts are still facts And thats a fact,None,None,neutral,None,899
Our Canada is gone Trudeau and his band of Merriwomen have left us vulnerable and wounded China created the death and cowardofthecottage is handing them the open door policy that will destroy our humanity,None,destroy,negative,['canada'],900
Somebodys collegeuniversity is gonna owe me a teaching degree by May cause WTF,None,None,neutral,None,901
Were Looking at this First Wave In June some 95 of Americans will still be susceptible to the virusThe worlds on fire with this virus Michael Osterholm from the University of Minnesota Transmission will continue to occur for some time,None,virus,negative,['university'],902
BarrySh62000603 ggreenwald Beethovenlover5 Who is banning a trial Canada There are dozens of randomized trials going on all over the world right now Canada is obviously waiting for the human guinea pigs in other countries to provide the data and why not Why should they risk needing to give people heart transplants,right,risk,negative,['canada'],903
In the space of a month the USled coalition has handed over 5 military bases inside Iraq most recently from alTaqaddum Air Base in the western Iraqi province of Anbar where US marines and troops from Italy Canada and Spain were being hosted,None,None,neutral,['canada'],904
RT mdubowitz Families of Flight 752 victims in Canada report threats acts of intimidation and blame Tehran,None,threats,negative,['canada'],905
RT OKWesternWheel Canada looking to disinfect used masks Tam asks they not be thrown away,None,None,neutral,['canada'],906
RT mcstephieface GlennKesslerWP JuliaDavisNews You can look to many other countries Germany and Canada are two to see how effective l,effective,None,positive,['canada'],907
I went to an agricultural University MerryPloughBoy,None,None,neutral,['university'],908
RT tourscotland Tour Scotland virtual travel video of a Spring road trip drive with Scottish music North on the A917 road from Crai,None,None,neutral,None,909
Canada looking to disinfect used masks Tam asks they not be thrown away,None,None,neutral,['canada'],910
Updating COVID19 reported cases per capita Spain 8 Itay11 United States 25 Canada 47 China 111 CoronavirusPandemic,None,None,neutral,['canada'],911
RT dingram68 They are free to leave anytime they wishIt is not Canadas job nor that of taxpayers and future generations to babysit ent,free,None,positive,None,912
RT Djeneration TrumpIsALoserTrump AirlineTrump Bike RacesTrump CasinoTrump Cologne Trump Ent ResortTrump GameTrump HighSpeed I,trump,None,positive,None,913
RT jkenney Dont know if Ive ever seen the Alberta spirit so beautifully packaged in one story served with steakThanks to Igor Boj,beautifully,None,positive,None,914
RT CanadaAction Restaurant owner in Wainwright provides free steak dinners to hardworking truck drivers,free,None,positive,None,915
New offseason podcast idea The prevalence of Canadian players Cloud 9 is 40 Canadian licorice VulcanLoL and 1 in NA Canada is only 111 of NAs population but has such a disproportionately high percentage of players RiotJatt RiotAzael esportskobe TheeMarkZ,None,cloud,negative,['canada'],916
HRHQueenE JustinTrudeau CPHOCanada fordnation fielding questions towards our children PLAYS SUCH A BIG SUPPORT Thank you all MichelleObama,thank,None,positive,None,917
babynurseqeebah I once dated a Christian lady in my university days who I was serious with the kind pressure she was subjected to by the christian association in our uni was impossible poor lady was depressed had to end the relationship they claimed I wanted to convert her which wasnt true,None,poor,negative,['university'],918
RT farronbalanced Joe Biden has 12 million cash on hand Bernie Sanders has 33 million Trump and the RNC have 225 millionSeems k,trump,None,positive,None,919
realDonaldTrump America is FirstConfirmed Cases by Country335524 US131646 Spain128948 Italy100024 Germany93759 France82602 China58226 Iran48436 United Kingdom27069 Turkey21100 Switzerland19691 Belgium17953 Netherlands15422 Canada12051 Austria,None,None,neutral,None,920
RT WaytowichNeil There is a divide in Canada between what media is demanding of the Government and what Canadians are asking for We don,None,None,neutral,['canada'],921
RT BBCWorld BBCJonSopel The hospital which has a capacity of 282 beds is now thought to be housing over 500 patientsIn the initial st,None,None,neutral,None,922
RT gillgodwin Note to nationalpost you are cancelledI will not listenread or consider the NP to be supportive of Canada and our gov,supportive,None,positive,['canada'],923
Answer to Trump has ordered 3M to stop sending N95 masks to Canada What do you think about this by Warren Williamson,trump,None,positive,['canada'],924
Joismelda RayC18236079 Augustasaurus mitchellvii Obama was your president,None,None,neutral,None,925
denisebatters The USA gets the result of the test in 5 minutes now How long do we take in Canada Why no reporter question her,None,None,neutral,['canada'],926
atoyac123 No Im from Canada Nova Scotia Claressashields FloydMayweather Canelo TysonFury bjsaunders I got lucky seems like every boxer I start to love never loses I think its Gods work It seems like the boxers that catch my eye dedicate it all to God,love,loses,positive,['canada'],927
TPostMillennial Trudeau must believe money grows on trees and Canada has unlimited and vast sums of money LOL,unlimited,None,positive,['canada'],928
RT WakeUpCanada1 Rex Murphy A COVID19 wakeup call Canada must stop this selfdestruction via nationalpost,None,None,neutral,['canada'],929
RT RidleyHSwimdive Another college commitment Congratulations to Jen Cardow who will attend Kutztown University next year where she will,congratulations,None,positive,['university'],930
RT HAIRKING University students BillMorneau and JustinTrudeau Canadians in university do not have summer jobs to return to currentl,None,None,neutral,['university'],931
RT wallyboston These Washington University faculty had rejected online classes until coronavirus Heres how they made the switch http,None,rejected,negative,['university'],932
BronxZoo Hey Im a reporter for up in Canada and were doing a story on Nadia unfortunately having the virus Could we use this footage to go along with our coverage of this with full credit to you to show our audience on broadcast and online,None,unfortunately,negative,['canada'],933
RT JustinTrudeau Two days ago I asked if your kids had any questions about COVID19 Turns out they did thousands of great ones were q,great,None,positive,None,934
RT Greenpeace The decisions we make for our families in this health crisis should be based on science and the advice of health professio,None,crisis,negative,None,935
5G made Prince Harry move to Canada,None,None,neutral,['canada'],936
cshelleh thejaymyer Canada has no hope but we do havecowardofthecottage Trudeau hiding out PropagandaPatty bowing to Communist China Regime AndTrudeaus PaidMedia,None,None,neutral,['canada'],937
ESharp13 cathmckenna JustinTrudeau CPHOCanada CBCKidsNews Certainly the Prime Minister has not been absent not at all He is working with his cabinet and the professionals to get what we need in order and to keep Canadians safe What a misleading headline Apparently the Post does not know about his daily briefings,safe,misleading,neutral,None,938
RT AT1ST kwncsl ricedreamstan I think the problem lies in that any relationship that doesnt extend past a due date is by extension,None,problem,negative,None,939
adukegeorge There is nothing like ibadan teaching hospital are you referring to University Teaching Hospital,like,None,positive,['university'],940
CandyComedy Michell82410861 DailyMail I will trade you for JustinTrudeau straight across then you will have something to cry about he just gave 150 million to foreign nations while Canada continues to flounder,None,cry,negative,['canada'],941
fakooluwafemi DeleMomodu OJO BABATUNDE SAMUELLADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY OGBOMOSO OYO STATE0173997807GTBANKI pray i get lucky this time Thanks in advance sir,lucky,None,positive,['university'],942
RT carlyynicoleee How you gonna hate from outside the university you cant even get in,None,hate,negative,['university'],943
RT YYCtj1 DavidStaplesYEG We need to start asking tough questions likeHow did Australia flatten their curve so quicklyAUS 8 de,tough,None,positive,None,944
RT Crystal1230Tae ET CANADA BTS Member V Goes Viral With Video For StayingAtHomeChallenge V TAEHYUNG BTSV Purple You Taeh,None,None,neutral,['canada'],945
RT BBCWorld BBCJonSopel Playing God is not what one young doctor thought shed be doing at this stage in her careerShe says the stres,None,None,neutral,None,946
justshauna Thanks I take it day by day I dont look to far ahead my youngest son hopefully go to university my oldest son wants to move away so I might move to Belfast as my daughter is there so well see,well,None,positive,['university'],947
RT KwakuAsanteGH University of Ghana Law,None,None,neutral,['university'],948
Check out the FREE Charles Sturt University HSC Guides for PDHPE and CAFS,free,None,positive,['university'],949
RT CBCNL Build the tunnel Its time for Newfoundland to dig itself out of food insecurityby geoffcbartlett h,None,None,neutral,None,950
A unique type of history is being written right now by Doctors who graduated from WhatsApp Medical school completed residency in the Department of Microbiology in Twitter university and hold an associate Professor position in Google University coronavirus Covid19,right,None,positive,['university'],951
Heartbroken to hear of the passing of Shirley Douglas I had the privilege of working closely with her for 12 years to champion public health care in Canada She was a brilliant actor and fierce champion for medicare A great loss to her family amp all Canadians cupenat heu,great,loss,positive,['canada'],952
RT Taleeb Its disappointingbut not unsurprising to see another CPCHQ MP playing politics with a global pandemic while criticising o,None,None,neutral,None,953
RT Vansanity1 Another 180 from CPHOCanada whats next,None,None,neutral,None,954
RT AlexBerenson Oregon again from ohsunews Oregon Health Sciences University is a top hospital in Portland 522 beds one of only two,top,None,positive,['university'],955
RT SaysDana Canada and now Barbadoshow many more I know if asked the Q during his reality show filming hell call it fake news,None,hell,negative,['canada'],956
RT sionneeee PVIts time for Prairie View AampM University to Elect Joshua Lewis as your 20202021 Mister Prairie View AampM Unive,None,None,neutral,['university'],957
VortexiumSims interestingly canada has notthe liberal party has remained levelheaded and trudeau has done a good job governing the placecontrast that with the extremism of us dems and uk labour and shortens idk what it costs climate plans in ge 2019,good,extremism,neutral,['canada'],958
RT KyleKulinski Its okay they have better healthcare than millions of Americans,better,None,positive,None,959
Canada milk mafia doing its thing Wouldnt want to donate it just dump it into the sewers instead,None,dump,negative,['canada'],960
RT Derameth Milan University Study puts mortality rates in Italy lower than predictions,None,None,neutral,['university'],961
RT doctorow Hospitals and newspapers are really great for this because theyre important so they get bailouts Canadas giant newspaper,great,None,positive,None,962
ArleneDickinson Fun question I am named after blairlancaster who won Miss Canada in 1974 My mom loved the way her full name sounded and decided if she ever had a girl which she did 4 years later she would name her Blaire with an e Already had the last name Lancaster,won,miss,positive,['canada'],963
Same government that likes to smear at Saudi ArabiaCanada is a jokeElect a real man next time,likes,smear,neutral,None,964
CashApp Cashapp isnt in Canada,None,None,neutral,['canada'],965
dakeldsen GwynneDyer Search YouTube for Gwynn Dyer War 7 part miniseries put out by NFB amp CBC in the early 80s Positively brilliant Then read a bunch of his books one of the smartest people in Canada,brilliant,None,positive,['canada'],966
Canada has lost a true national treasure RIPShirleyDouglas,treasure,lost,neutral,['canada'],967
RT DemonesSlay BernardKerik johncardillo BK this Prof EXPOSES THE ENTIRE HOAXmaybe we get the word out to PotusProf Knut Wittkowsk,None,None,neutral,None,968
RT LeftyMind Here is a video comparison of Americas Father of Medicare BernieSanders and Canadas Father of Medicare Tommy Douglas,None,None,neutral,None,969
CP24 the health Canada recommendation on homemade mask is beyond ridiculous one sentence to state that you might use followed by 800 words on the risks,recommendation,risks,negative,['canada'],970
Theres toronto then theres the rest of Canada,None,None,neutral,['canada'],971
RT DHSAthletics1 DHS Senior Athlete ProfileIsabelle KarkabaSoccer BasketballHighlight Winning the Dearborn Soccer Invitational soph,winning,None,positive,None,972
RT Glen4Climate CdnEliana MichelleRempel Polkameister What are you talking about She is one of Canadas most respected public health,None,None,neutral,None,973
RT closedhighway Canada could only wish to be China of the westCanada the little potato,None,None,neutral,['canada'],974
Urge Canada to End Its Shameful Seal Slaughter via PETA THEY BEAT THE BABIES TO DEATH IN FRONT OF THEIR MOTHERS PLEASE SIGN,None,death,negative,['canada'],975
Kaity like her dad is a goofball and a total sweetheart She studied nursing at the University of Tampa then went back home to Connecticut to start her career Now shes a nurse at Hartford Hospital incidentally the hospital where I was born,sweetheart,None,positive,['university'],976
RT gervaisewilhelm thehill Do you understand that 3M gets most of the materials for masks and other PPE from CANADA Do you understand,None,None,neutral,['canada'],977
billboardincludethe10k Is trending number 2 in CanadaWe are making an impact Do not get disheartened,None,None,neutral,None,978
COVID19Coronavirus Real Time Updates With Credible Sources in US and Canada 1Point3Acres Not winning but we are InItTogether MAGA2020 Confirmed Infections in the US 336509 Recoveries 17430 Deaths 9607Cases are up 24403 from Yesterday,credible,infections,positive,['canada'],979
RT braedencaley JustinTrudeaus message to Canadas kids now has a lego version StayHomeSaveLives,None,None,neutral,None,980
kirtydwh She is yet again trying to be different by holding her baby differently She cant hold a baby to save her life i mean even that picture in the park in canada he was falling off the carrier She doesnt care about the baby she only cares about what the baby will bring to her,None,falling,negative,['canada'],981
RT SteveDaly15 Seen on University Avenue Im Toronto last night There are 4 hospitals further up University that would be able to see,None,None,neutral,['university'],982
RT LanceMorin FANATICCON will be a fan convention offering the best in vintage toys comics retro games art costuming entertainment a,best,None,positive,None,983
RT collinkelley0 Im more than blessed to announce I have received my 1st D1 offer from Bryant university BryantHoops,None,None,neutral,['university'],984
tigerriderfrog I think youre referring to this A total of 80 patients with confirmed COVID19 were hospitalised at the MditerraneInfection University HospitalThis is under Demographics and patient status at admission It tells me they were hospitalized for admission to the study,patient,None,positive,['university'],985
CLERodB I was a national wristarmwrestling champion in the US and Canada respectivelyWhat uncommon sport have you participated in,champion,None,positive,['canada'],986
AlirezaNader agnospharmos As long as Zarif backs his counterpart JT after warm meeting in Munich and because of mass investments of islamic dictators in Canada everything is undermined and nothing seriously will take place Forgiven and Forgotten IslamicRepublicVirus PS752,warm,undermined,neutral,['canada'],987
RT dianamacpherson Sad to hear Shirley Douglas has died Daughter Of Tommy Douglas who brought universal healthcare to Canada she was a,None,sad,negative,['canada'],988
RT VadeboncoeurAl Excuse me realDonaldTrump but if you still interested to build a wall somewhere we could be open hereNo no don,None,excuse,negative,None,989
JayNae08 Wait so you download the university one Or is it still on sim4 standard one,None,None,neutral,['university'],990
RT CanadasPatriots Have you evr wondered how so many people in Ontario Quebec and the East Cost of Canada could all be so completely fu,None,None,neutral,['canada'],991
RT supriyasule Students studying at Bukovinian State Medical University Chernivitsi Ukraine are facing difficulties Requesting HonD,None,difficulties,negative,['university'],992
RT MaximeBernier The Bank of Canada will bail out the government and other entities with billions of dollars created out of thin air And,None,None,neutral,['canada'],993
Just 4 the hell of it I checked on arriving flights into Vancouver Its no wonder covid19 cases R rising in Canada That asshole trudeau is still allowing flights in from fuckin chinaHe certainly has an agenda that he is not sharingPlz somebody throw trudeau 2 the wolves,wonder,hell,neutral,['canada'],994
RT SmouchRN This is my favorite part of CoachCarter Clear your mind amp actively listen to the words I feel it sums up the students amp al,clear,None,positive,None,995
RT TheTorontoSun LILLEY Public Health Canada failed to look after strategic stockpile,None,failed,negative,['canada'],996
RT canukcookie Canada is China of the west Academic who blew the whistle on Chinas influence on Australia says Canada is in even worse,None,worse,negative,['canada'],997
RT TheInsaneApp VIP Machine Learning Cheat Sheets Stanford UniversityDownload Cheat Sheets Cc jblefevre,None,cheat,negative,None,998
RT BestStephen Canadas public sector workers are also front line workers While struggling to protect themselves and their families from,protect,struggling,neutral,None,999
BichonSuzi albertcramsey sthompson0312 CNN You do realize that the records of visitation to the oval office are public record right And Trump is notorious for the sheer volume of TV he watches,trump,notorious,positive,None,1000
RT KMartWright15 The university was already dealing with being underfunded this fiscal year Now as higher education is projecting an,None,None,neutral,['university'],1001
Canada Revenue Agency 3 Top CRA Tax Breaks in 2020 The Motley Fool Canada cra canada,top,fool,negative,['canada'],1002
RT ShabnamHamseda Insane and embarrassing Liberal govt of Canada is funding for killing the unborn to hep fight against Covid19 w,None,killing,negative,['canada'],1003
RT mrjones321 KildayMorgan ryanstruyk marylynne1 The US and Canada saw COVID spreading in China and chose not to close their airports,None,None,neutral,['canada'],1004
OUBarstool Its only been 412 days since your university President molested male students in his office Disgustingly,None,disgustingly,negative,['university'],1005
RT intlgymnast Flashback 1991 University Games Pae Gil Su PRK INDef gaylord 1 winkler and double layout OVER the bar Great var,great,None,positive,['university'],1006
DeanWinnipeg When I lived in Winnipeg many Years agoMy 2 Favorite Summer Events were The Birds Hill Folk Festival and Folklorama The Music Scene wasis the best in Canada,best,None,positive,['canada'],1007
This is true for way to many and dont think for a moment it doesnt happen here in Canada,None,None,neutral,['canada'],1008
RT madzone2019 Congratulations to Derrik Korie Abbey and Hannah on continuing their athletic and academic careers at Madonna Universi,congratulations,None,positive,None,1009
RT SeanCarleton A colony actually helping Indigenous nations during the pandemic Maybe Canada can do the same,helping,None,positive,['canada'],1010
DeleMomodu Ibuoye Olumide SamuelEkiti state University0090035844Union BankIm sorry but I drop my school ID in school but I have some proof of payment that you can check if Im lying but please hope you consider me tooGod bless you sir,bless,sorry,negative,None,1011
RT MackenzieInvest What is the Canada Emergency Response Benefit CERB Our tax expert Jacqueline Power explains who is eligible for it,benefit,emergency,neutral,['canada'],1012
TeaSpillYT Anyone else think population density plays a roll I would think there arent as many employees in Canada compared to the US Could play a factor in decision making based on what is affordable for the company and best for its workers in that country,best,None,positive,['canada'],1013
RT nationalpost Going to be lonely Humboldt Broncos families to quietly mark anniversary of bus crash amid COVID19 grip,None,crash,negative,None,1014
kettcon Contactless for our hand delivery service Toronto Guelph KW and Hamilton but everywhere else is shipping via Canada PostWere working on securing a new courier this week which will cut down on delivery times and allow us to have contactless delivery everywhere,None,None,neutral,['canada'],1015
RT merry123459 Trumps a fcking greedy arrogant self serving old senile bastard Many Americans have and will continue to die of Covid,None,greedy,negative,None,1016
RT Scribulatora The rest of Canada must not forget what Albertas Government is doing to themIts the conservative way billions for o,None,conservative,negative,['canada'],1017
Car Seat Cover Up Michigan State University Spartans Green n W by mamasgotmecovered via Etsy,None,None,neutral,['university'],1018
RT CliveMcDonald1 House MUSICEngland Canada Germany Barbados housemusic musicphile events musicien c,None,None,neutral,['canada'],1019
RT SiddakAhuja Boris Johnson is like Churchill in that hes leading a wartime government against CoronavirusLabour must present themsel,leading,None,positive,None,1020
RT CBCKids Parents and kids of Canada youre doing a great job staying at home This song is for you cbckids stayhome stayhealt,great,None,positive,['canada'],1021
RT JaniceHardy Fiction University Do You Have a Story with a Twist,None,twist,negative,['university'],1022
RT GerryRogersYYT Shirley Douglas daughter of the amazing Tommy Douglas the architect of Canadas healthcare system has died She was a,amazing,died,neutral,None,1023
realDonaldTrump America is First thanks trumpConfirmed Cases by Country335524 US131646 Spain128948 Italy100024 Germany93759 France82602 China58226 Iran48436 United Kingdom27069 Turkey21100 Switzerland19691 Belgium17953 Netherlands15422 Canada12051 Austria,None,None,neutral,None,1024
RT steventhobrien With the bungled handling of the virus I dont know if I feel more like an employee at one of his bankrupt casinos li,like,virus,negative,None,1025
dbongino Trump is so jealous of Gov Cuomo getting to talk about his brother that he invented a sick friend you dont know him he goes to a different school in Canada,trump,jealous,negative,['canada'],1026
ChrisCuomo Im from Canada I propose a three way trade Mario as our PM Trudeau as your Potus and Trump to Antartica rotten deal for penguins,trump,rotten,neutral,['canada'],1027
RT KatRukavina DavidStaplesYEG I questioned Tams calls early on but read yesterday that the WHO is calling the shots amp threatening nati,None,threatening,negative,None,1028
RT JungkookCanada 2YearsWithEuphoria is trending at 4 in Canada JKEuphoriaTurns2 JUNGKOOK,None,None,neutral,['canada'],1029
CNN Gotta get those insurance claims in early,None,None,neutral,None,1030
RT CliveMcDonald1 The Hip FACTSEngland Canada Germany Barbados housemusic musicphile events musicien,None,None,neutral,['canada'],1031
RT MarcusTriton To all my followers5G is a killer1and 2 are some of the top scientists in the field GOOGLE1281 Dr Dietri,top,None,positive,None,1032
RT davelackie Dear Twitter Friends Due to coronavirus Canada Post announced it is suspending shipments to 60 countries For this reason,None,None,neutral,['canada'],1033
RT CTVNewsVI BC Ferries will now be screening passengers for COVID19 before allowing them to board as a result of these changes https,None,None,neutral,None,1034
RT cbcDougDirks No one is more deserving says Quebec premier Francois Legault raising wages of 300000 healthcare workers as COVID,premier,None,positive,None,1035
RT ibrahimikhina There is a university named after him too in Ogwa Edo state,None,None,neutral,['university'],1036
Dr Susan Weiss is codirecting a team at the University of Pennsylvania that is examining real samples of the coronavirus that causes COVID19 What does weisssr want to know the most How to destroy itHear more in the True Philadelphia Podcast,None,destroy,negative,['university'],1037
Tangent3 Here he is as Home Secretary standing behind Lord Halifax in the extended War Cabinet prior to the formation of the Coalition in May 1940,None,None,neutral,['halifax'],1038
Its this simple people What dont you get Only in Canada,None,None,neutral,['canada'],1039
NorbertElekes Yes Germany confirmed cases of Coronavirus as per JOHNS HOPKINS University figure shoes 100 024,None,None,neutral,['university'],1040
vapetheory We cant strip Dr Shivas doctorate its from Trump UniversityThe COVIDIDIOT crew wants to FireFauci,trump,None,positive,None,1041
RT walsht Last Month during one of his press conferences JustinTrudeau had a message for Canadian children about how they can do their,None,None,neutral,None,1042
RPG and youre students at the University of Paris in the 13th century,None,None,neutral,['university'],1043
RT IainBaj gmacca69 brianmoore666 You are aware you can be lefty working class AND University educatedThey arent mutually exclusive,None,None,neutral,['university'],1044
chrismneill AdamLavecchia kevinmilligan michaelgsmart MarinaAdshade This is a great thread Im enjoying being tagged in itJust wanted to add in Alberta medical students have been enlisted to do contact tracing Good base of resources for the next phase of this,good,None,positive,None,1045
Day 21 Da Crib University I Like Kicking It With My Homegirl,like,None,positive,['university'],1046
RT cavershambooks RT cbcfreshair LISTEN How to stay mentally healthy right now with DrKatyKamkar She is a clinical psychologist at the CAMHnews and an assistant professor within the Department of Psychiatry University of Toronto,right,None,positive,['university'],1047
Actressactivist Shirley Douglas daughter of medicares Tommy Douglas dies,None,dies,negative,None,1048
its been three weeks since I rushed back to Canada under the threat of the border being closed and my flight being cancelled before I could get somewhere I had healthcare during a global pandemic and I still cant believe this is actually happening,None,threat,negative,['canada'],1049
RT SeanSilcoff Quebec mask maker AMD Medicom expanding manufacturing operations in Canada and elsewhere as countries limit exports The,None,limit,negative,['canada'],1050
RT TheBlueGem3 Thank god for Canada My beautiful home I thank my lucky stars that when my grandfather immigrated he was given a choic,lucky,None,positive,['canada'],1051
RT SajDevshi MartinSLewis Martin thank you but someone in your position needs to really be pushing how unfair it is that newstarterfur,thank,None,positive,None,1052
IKEA Canada just gave over 40000 N95 masks to frontline healthcare workers,None,None,neutral,['canada'],1053
RHOPettyAngry All Lisa does is complain and complain Nothing is good enough for her Usman is marrying this old woman for the green card not worth it Try to get a immigration to Canada or something if you really want to leave Nigeria 90DayFiance,worth,complain,positive,['canada'],1054
mrqtoo Canadian healthcare is not cheap There are long delays In my dads final days a WWII disabled Canadian vet he sat both in a hallway and a closet before being given a suitable room Hey Im a CanadianAmerican with most of my family still in Canada Most reporting is BS,suitable,disabled,negative,['canada'],1055
Im finally properly getting into The Last Tango in Halifax and omg its so cute Everything about it is perfect,properly,None,positive,['halifax'],1056
DeleMomodu Please sir had one of the best scores during 2018 in jamb 320 and I had to travel all to the North to school because of financial lack am currently studying medicine in Usman danfodio University and any help you render sir DeleMomodu God bless you Acess bank 0101085907,bless,lack,positive,['university'],1057
RT disneyplus Two brothers one epic journey PixarOnward is now streaming on DisneyPlus in the and Canada,None,None,neutral,['canada'],1058
These earthquakes have me about ready to move Does Canada have earthquakes Oh wait the borders are closed shit,ready,shit,neutral,['canada'],1059
Financial Analyst Program Working General Dynamics Mission SystemsCanada in Ottawa Ontario Apply here cfmjobs hiring hiringnow nowhiring job jobs careers jobopening jobopenings jobhunting jobseekerscourtesy,None,None,neutral,None,1060
NYARK0AA looks like the science side of a campus of a university,like,None,positive,['university'],1061
ColoradosMark KyleClark CDPHE Actually according to the Institute for Health Metrics and Evaluation at the University of Washington we will reach our peak near April 17,None,None,neutral,['university'],1062
RT DumasRaphael If you all residents of Canada could do your civic duty and answer this stats can survey on how covid19Canada is impac,None,None,neutral,['canada'],1063
vashiva heres your diploma from Devry University,None,None,neutral,['university'],1064
RT WilliamJamesLe1 OPINION Opinion 4 crucial healthcare lessons Canada needs to learn from COVID19 CBC News,None,None,neutral,['canada'],1065
RT MJohnston1 Someone should ask our PM if this is a condition of Canada receiving masks from China that we sell out our national secu,None,None,neutral,['canada'],1066
No capsundayvibes QuarantineDiaries Canada,None,None,neutral,['canada'],1067
You can now find the latest podcasts and episodes produced in specific locations on one page w podknife Check out some of whats been produced recently in Edmonton Canada for instance,None,None,neutral,['canada'],1068
RT syiphee University of Oxford in England,None,None,neutral,['university'],1069
It is the first known case of Covid19 being detected in a tiger anywhere in the world,None,None,neutral,None,1070
ZakaWaqar nomoreonlinelolypop Waqar bhai me iqra university ka student hu bhai there is alot of problem while conducting lectures Other thing we are not used to class time shuru hua teacher foran assignment dedenge wo bhi bohat ziada lengthy,None,lengthy,negative,['university'],1071
Serious question Can someone please explain why NY and CA cant secede from the US and join Canada as bicoastal provinces,None,None,neutral,['canada'],1072
RT levinepmc Unfortunately a combination of successive anti business governments led by McGuinty and Wynne as well as intransigent unio,well,intransigent,neutral,None,1073
RT LabourStartCanE SK Nurses union says SHA examining possibility of reusing N95 masksCBC,None,None,neutral,None,1074
globalnews Still waiting to see that video of Trump saying he was not letting Canada and Mexico have masks Global News Lets just call it what it is FAKE NEWS and Canadian Media Sucks,trump,sucks,negative,['canada'],1075
RT YRNnoah29 Wow I am so grateful and blessed to have received an offer from the University of Oklahoma I am beyond thankful to be in t,grateful,None,positive,['university'],1076
